"STR:@M:G36aMag", "G36aMag magazine", "Магазин к HK G36A (5.56x45mm)"
"STR:@M:GlockMag", "GlockMag magazine", "Магазин к Glock 17 (9x19mm Para)"
"STR:@M:GlockSMag", "GlockSMag magazine", "Магазин к Glock 17S (9x19mm Para)"
"STR:@M:GrenadeLauncher", "GrenadeLauncher magazine", "Подствольная граната"
"STR:@M:IngramMag", "IngramMag magazine", "Магазин к Ингрему"
"STR:@M:HK", "HK magazine", "Магазин к HK MP-5 SD6 (9x19mm Para)"
"STR:@M:HKG3Mag", "HKG3Mag magazine", "Магазин к HK G3 (7.62х51mm)"
"STR:@M:HandGrenade", "HandGrenade magazine", "Ручная граната"
"STR:@M:HellfireLauncherApach", "HellfireLauncherApach magazine", "Ракеты для AH-64"
"STR:@M:HellfireLauncherBMP2", "HellfireLauncherBMP2 magazine", "Ракеты для BMP2"
"STR:@M:HellfireLauncherCobra", "HellfireLauncherCobra magazine", "ПТУР на AH-1"
"STR:@M:HellfireLauncherKamov", "HellfireLauncherKamov magazine", "HellfireLauncherKamov"
"STR:@M:HuntingRifleMag", "HuntingRifleMag magazine", "Патроны к Ремингтону"
"STR:@M:KozliceShell", "KozliceShell magazine", "Патроны для козлищщща (дробь)"
"STR:@M:KozliceBall", "KozliceBall magazine", "Патроны для козлищщща (пули)"
"STR:@M:LAWLauncher", "LAWLauncher magazine", "Выстрел противотанкового гранатомета"
"STR:@M:LaserDesignator", "LaserDesignator magazine", "Аккумулятор для лазерного целеуказателя"
"STR:@M:LaserGuidedBombLauncher", "LaserGuidedBombLauncher magazine", "LaserGuidedBombLauncher"
"STR:@M:M16", "M16 magazine", "Магазин к M16A1 (5.56x45mm)"
"STR:@M:M21", "M21 magazine", "Магазин к M21 (7.62х51mm)"
"STR:@M:M4", "M4 magazine", "Магазин к XM-177E1S (7.62х51mm)"
"STR:@M:M60", "M60 magazine", "Лента в коробке к М60 (7.62х51mm)"
"STR:@M:MM1Magazine", "MM1 magazine", "Барабан к MM1"
"STR:@M:MachineGun30", "MachineGun30 magazine", "MachineGun30"
"STR:@M:MachineGun30A10", "MachineGun30A10 magazine", "Пушка на A10"
"STR:@M:MachineGun7_6", "MachineGun7_6 magazine", "MachineGun7_6"
"STR:@M:MaverickLauncher", "MaverickLauncher magazine", "Ракеты на A10"
"STR:@M:Mine", "Mine magazine", "Противотанковая мина"
"STR:@M:PK", "PK magazine", " Лента в коробке к ПК (7,62х54R)"
"STR:@M:PipeBomb", "PipeBomb magazine", "Взрывное устройство с ДУ"
"STR:@M:RPGLauncher", "RPGLauncher magazine", "Выстрел ПГ-7ВЛ"
"STR:@M:Revolver", "Revolver magazine", "Обойма к револьверу"
"STR:@M:Rocket57x40Kamov", "Rocket57x40Kamov magazine", "Rocket57x40Kamov"
"STR:@M:Rocket57x64", "Rocket57x64 magazine", "Rocket57x64"
"STR:@M:SVDDragunov", "SVDDragunov magazine", "Магазин к СВД (7.62x54R)"
"STR:@M:ScorpionMag", "ScorpionMag magazine", "Магазин к Scorpion"
"STR:@M:SmokeShell", "SmokeShell magazine", "Дымовая шашка"
"STR:@M:SmokeShellGreen", "SmokeShellGreen magazine", "Дымовая шашка (зеленая)"
"STR:@M:SmokeShellRed", "SmokeShellRed magazine", "Дымовая шашка (красная)"
"STR:@M:SteyrMag", "SteyrMag magazine", "Магазин к Steyr AUG (5.56x45mm)"
COMMENT STR:@M:StrokeFist, StrokeFist
COMMENT STR:@M:StrokeGun, StrokeGun
"STR:@M:TimeBomb", "TimeBomb magazine", "Взрывное устройство с таймером"
"STR:@M:TokarevMag", "TokarevMag magazine", "Магазин к ТТ"
"STR:@M:UZIMag", "UZIMag magazine", "Магазин к UZI"
"STR:@M:VulcanCannon", "VulcanCannon magazine", "VulcanCannon"
"STR:@M:ZuniLauncher38", "ZuniLauncher38 magazine", "ZuniLauncher38"
"STR:@M:ZuniLauncherOH", "ZuniLauncherOH magazine", "ZuniLauncherOH"
"STR:@M:Mortar", "Mortar magazine", "Винтовочная граната"

"STR:@V:Uaz", "Uaz", "Уаз"
"STR:@V:Ural", "Ural", "Урал"
"STR:@V:Hammer", "Hammer", "Хаммер"
"STR:@V:Truck5t", "5t Truck", "5-тонный грузовик"
